ID,alpha,benign,bullying,conspiracy,ed_risk,extremist,gamergate,hate_speech,incel_misogyny,misinfo,pro_ana,recovery_ed,trad,Usage
0,0,0,0,0,0,0,0,0,0,0,1,0,0,Private
1,0,0,0,1,0,0,0,0,0,0,0,0,0,Public
2,0,0,0,0,0,0,0,0,1,0,0,0,0,Private
3,0,0,0,0,0,0,1,0,0,0,0,0,0,Private
4,0,0,1,0,0,0,0,0,0,0,0,0,0,Private
5,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
6,0,0,0,0,1,0,0,0,0,0,0,0,0,Private
7,0,0,1,0,0,0,0,0,0,0,0,0,0,Public
8,0,0,0,0,0,0,0,0,0,0,0,1,0,Private
9,0,0,0,0,0,0,0,1,0,0,0,0,0,Public
10,0,0,1,0,0,0,0,0,1,0,0,0,0,Private
11,0,0,0,0,0,0,0,0,0,0,0,0,1,Private
12,1,0,0,0,0,0,0,0,0,0,0,0,0,Public
13,0,0,0,1,0,0,0,0,0,1,0,0,0,Private
14,0,0,0,0,1,0,0,0,0,0,0,0,0,Private
15,0,0,0,0,0,0,0,1,0,0,0,0,0,Private
16,0,0,0,0,0,0,0,1,0,0,0,0,0,Private
17,0,0,0,0,0,1,0,0,0,0,0,0,0,Private
18,1,0,0,0,0,0,0,0,0,0,0,0,0,Private
19,0,0,0,0,0,0,0,1,0,0,0,0,0,Public
20,0,0,0,0,0,0,0,0,0,0,0,1,0,Private
21,1,0,0,0,0,0,0,0,0,0,0,0,0,Private
22,0,0,0,0,0,1,0,0,0,0,0,0,0,Private
23,0,0,1,0,0,0,0,0,0,0,0,0,0,Private
24,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
25,0,0,0,1,0,0,0,0,0,1,0,0,0,Private
26,0,0,0,0,0,0,0,0,0,1,0,0,0,Public
27,0,0,0,0,0,0,1,0,0,0,0,0,0,Public
28,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
29,0,0,0,1,0,0,0,0,0,0,0,0,0,Private
30,0,0,0,0,0,0,0,0,1,0,0,0,0,Private
31,0,0,0,1,0,0,0,0,0,0,0,0,0,Private
